0	Dno=111 datetime=     1408.85 P=A F=[14, -1]
1	Dno=111 datetime=    2347.884 P=A F=[24, -1]
2	Dno=111 datetime=    5122.767 P=A F=[52, -1]
3	Dno=111 datetime=    6035.534 P=A F=[61, -1]
4	Dno=111 datetime=     8838.85 P=A F=[89, -1]
5	Dno=111 datetime=    9736.734 P=A F=[99, -1]
6	Dno=111 datetime=   12555.084 P=A F=[128, -1]
7	Dno=127 datetime=   12726.617 P=A F=[129, -1]
8	Dno=207 datetime=   12726.617 P=A F=[129, -1]
9	Dno=127 datetime=   12746.284 P=A F=[130, -1]
10	Dno=207 datetime=   12746.301 P=A F=[130, -1]
11	Dno=111 datetime=     13442.1 P=A F=[137, -1]
12	Dno=204 datetime=   13641.967 P=B F=[139, -1]
13	Dno=204 datetime=     13738.6 P=B F=[140, -1]
14	Dno=204 datetime=   15027.801 P=B F=[153, -1]
15	Dno=111 datetime=     16300.1 P=A F=[166, -1]
16	Dno=111 datetime=   17190.967 P=A F=[175, -1]
17	Dno=111 datetime=   20051.784 P=A F=[205, -1]
18	Dno=155 datetime=   20608.034 P=B F=[211, -1]
19	Dno=157 datetime=   20611.784 P=B F=[211, -1]
20	Dno=111 datetime=    20702.85 P=A F=[212, -1]
21	Dno=111 datetime=   20711.517 P=A F=[212, -1]
22	Dno=111 datetime=   20716.651 P=A F=[212, -1]
23	Dno=111 datetime=   20719.867 P=A F=[212, -1]
24	Dno=118 datetime=   20791.334 P=B F=[213, -1]
25	Dno=149 datetime=   20791.767 P=B F=[213, -1]
26	Dno=128 datetime=   20795.651 P=B F=[213, -1]
27	Dno=111 datetime=   21071.834 P=A F=[216, -1]
28	Dno=156 datetime=     21358.1 P=A F=[219, -1]
29	Dno=156 datetime=   21484.884 P=A F=[220, -1]
30	Dno=149 datetime=   21487.551 P=B F=[220, -1]
31	Dno=152 datetime=   21520.034 P=B F=[220, -1]
32	Dno=159 datetime=    21531.95 P=B F=[220, -1]
33	Dno=123 datetime=   21537.484 P=B F=[220, -1]
34	Dno=129 datetime=     21547.6 P=B F=[220, -1]
35	Dno=129 datetime=   21553.084 P=B F=[221, -1]
36	Dno=129 datetime=   21555.867 P=B F=[221, -1]
37	Dno=129 datetime=   22824.651 P=B F=[234, -1]
38	Dno=123 datetime=   22825.551 P=B F=[234, -1]
39	Dno=128 datetime=   22853.984 P=B F=[234, -1]
40	Dno=128 datetime=   22859.517 P=B F=[234, -1]
41	Dno=128 datetime=   22863.167 P=B F=[234, -1]
42	Dno=159 datetime=   22872.317 P=B F=[234, -1]
43	Dno=152 datetime=   22888.634 P=B F=[234, -1]
44	Dno=150 datetime=   23470.767 P=B F=[240, -1]
45	Dno=158 datetime=   23563.784 P=A F=[241, -1]
46	Dno=111 datetime=   23926.234 P=A F=[245, -1]
47	Dno=128 datetime=   24231.884 P=B F=[248, -1]
48	Dno=150 datetime=   24456.534 P=B F=[251, -1]
49	Dno=158 datetime=   24480.284 P=A F=[251, -1]
50	Dno=151 datetime=   24485.834 P=B F=[251, -1]
51	Dno=111 datetime=   24577.917 P=A F=[252, -1]
52	Dno=111 datetime=   24585.234 P=A F=[252, -1]
53	Dno=157 datetime=   24751.634 P=B F=[254, -1]
54	Dno=157 datetime=   24770.217 P=B F=[254, -1]
55	Dno=152 datetime=   24776.817 P=B F=[254, -1]
56	Dno=159 datetime=   24787.134 P=B F=[254, -1]
57	Dno=159 datetime=   24796.034 P=B F=[254, -1]
58	Dno=156 datetime=   24866.017 P=A F=[255, -1]
59	Dno=156 datetime=    24898.35 P=A F=[255, -1]
60	Dno=157 datetime=   24924.017 P=B F=[255, 256]
61	Dno=152 datetime=    24926.45 P=B F=[256, -1]
62	Dno=147 datetime=   24942.401 P=A F=[256, -1]
63	Dno=207 datetime=   24942.401 P=A F=[256, -1]
64	Dno=111 datetime=   24959.684 P=A F=[256, -1]
65	Dno=128 datetime=   25731.017 P=B F=[264, -1]
66	Dno=128 datetime=   25736.534 P=B F=[264, -1]
67	Dno=128 datetime=   25740.784 P=B F=[264, -1]
68	Dno=157 datetime=   25920.184 P=B F=[266, -1]
69	Dno=111 datetime=   26226.067 P=A F=[269, -1]
70	Dno=111 datetime=   26234.684 P=A F=[269, -1]
71	Dno=111 datetime=   27470.234 P=A F=[282, -1]
72	Dno=101 datetime=   27498.001 P=B F=[282, -1]
73	Dno=102 datetime=   27498.084 P=B F=[282, -1]
74	Dno=149 datetime=   27513.667 P=B F=[282, -1]
75	Dno=120 datetime=   27526.117 P=B F=[282, -1]
76	Dno=140 datetime=   27529.234 P=B F=[282, -1]
77	Dno=149 datetime=    27664.95 P=B F=[284, -1]
78	Dno=112 datetime=   27700.767 P=B F=[284, -1]
79	Dno=111 datetime=   27747.301 P=A F=[285, -1]
80	Dno=111 datetime=    27755.95 P=A F=[285, -1]
81	Dno=118 datetime=   27854.317 P=B F=[286, -1]
82	Dno=140 datetime=   28262.134 P=B F=[290, -1]
83	Dno=151 datetime=     28296.1 P=B F=[290, -1]
84	Dno=140 datetime=   28373.617 P=B F=[291, -1]
85	Dno=147 datetime=   28420.551 P=A F=[292, -1]
86	Dno=207 datetime=   28420.551 P=A F=[292, -1]
87	Dno=111 datetime=    28514.45 P=A F=[293, -1]
88	Dno=111 datetime=   28651.867 P=A F=[294, -1]
89	Dno=111 datetime=   28658.584 P=A F=[294, -1]
90	Dno=111 datetime=    29094.95 P=A F=[299, -1]
91	Dno=111 datetime=   29114.384 P=A F=[299, -1]
92	Dno=111 datetime=   29169.284 P=A F=[299, -1]
93	Dno=111 datetime=   29173.867 P=A F=[299, 300]
94	Dno=111 datetime=   29474.834 P=A F=[303, -1]
95	Dno=111 datetime=   29482.267 P=A F=[303, -1]
96	Dno=111 datetime=     29829.2 P=A F=[306, -1]
97	Dno=111 datetime=     29833.6 P=A F=[306, -1]
98	Dno=111 datetime=   29849.017 P=A F=[306, -1]
99	Dno=111 datetime=   29857.251 P=A F=[307, -1]
100	Dno=111 datetime=   30023.184 P=A F=[308, -1]
101	Dno=111 datetime=   30036.517 P=A F=[308, -1]
102	Dno=111 datetime=   30135.417 P=A F=[309, -1]
103	Dno=111 datetime=   30139.234 P=A F=[309, -1]
104	Dno=111 datetime=   30149.001 P=A F=[310, -1]
105	Dno=111 datetime=   30172.634 P=A F=[310, -1]
106	Dno=111 datetime=    30175.95 P=A F=[310, -1]
107	Dno=111 datetime=   30210.567 P=A F=[310, -1]
108	Dno=111 datetime=   30213.917 P=A F=[310, -1]
109	Dno=111 datetime=    30222.45 P=A F=[310, -1]
110	Dno=111 datetime=   30225.084 P=A F=[310, -1]
111	Dno=152 datetime=   30327.567 P=B F=[311, -1]
112	Dno=159 datetime=   30342.017 P=B F=[312, -1]
113	Dno=123 datetime=   30355.051 P=B F=[312, -1]
114	Dno=129 datetime=   30365.184 P=B F=[312, -1]
115	Dno=111 datetime=   31336.017 P=A F=[322, -1]
116	Dno=129 datetime=   33341.184 P=B F=[343, -1]
