Timestamp,Label,Phase
10/26/2011 01:21:57.596,1108,B
10/26/2011 01:22:09.129,101,B
10/26/2011 01:22:09.129,102,B
10/26/2011 01:22:31.195,140,B
10/26/2011 01:23:13.379,140,B
10/26/2011 01:23:23.162,140,B
10/26/2011 01:25:04.712,140,B
10/26/2011 01:38:36.779,111,A
10/26/2011 01:54:14.512,111,A
10/26/2011 02:32:13.662,111,A
10/26/2011 02:47:07.979,111,A
10/26/2011 03:25:56.396,111,A
10/26/2011 03:40:31.695,111,A
10/26/2011 04:20:34.912,111,A
10/26/2011 04:35:02.462,111,A
10/26/2011 05:17:00.912,111,A
10/26/2011 05:31:23.396,111,A
10/26/2011 06:06:01.562,204,B
10/26/2011 06:07:53.179,204,B
10/26/2011 06:13:39.729,111,A
10/26/2011 06:24:55.846,204,B
10/26/2011 06:27:54.612,111,A
10/26/2011 07:10:52.629,111,A
10/26/2011 07:25:20.646,111,A
10/26/2011 07:53:18.862,207,A
10/26/2011 07:53:18.879,127,A
10/26/2011 07:53:38.146,127,A
10/26/2011 07:53:38.162,207,A
10/26/2011 08:08:17.496,111,A
10/26/2011 08:22:55.079,111,A
10/26/2011 08:32:18.079,156,A
10/26/2011 08:34:09.879,156,A
10/26/2011 08:34:12.779,149,B
10/26/2011 08:34:20.445,118,B
10/26/2011 08:34:20.462,128,B
10/26/2011 09:03:55.746,156,A
10/26/2011 09:05:41.462,111,A
10/26/2011 09:07:46.879,1109,A
10/26/2011 09:11:20.545,1110,A
10/26/2011 09:12:04.346,150,B
10/26/2011 09:12:12.195,204,B
10/26/2011 09:13:49.929,134,B
10/26/2011 09:14:42.746,134,B
10/26/2011 09:20:22.712,111,A
10/26/2011 09:22:51.629,156,A
10/26/2011 09:23:08.112,156,A
10/26/2011 09:23:08.379,158,A
10/26/2011 09:23:17.812,1111,A
10/26/2011 09:26:38.529,140,B
10/26/2011 09:29:54.896,140,B
10/26/2011 09:30:03.962,140,B
10/26/2011 09:30:18.812,158,A
10/26/2011 09:31:46.129,140,B
10/26/2011 09:36:51.462,132,A
10/26/2011 09:39:09.896,132,A
10/26/2011 09:39:29.729,1112,A
10/26/2011 09:39:35.429,156,A
10/26/2011 09:40:31.129,150,B
10/26/2011 09:40:48.212,149,B
10/26/2011 09:41:24.429,152,B
10/26/2011 09:41:55.596,152,B
10/26/2011 09:41:59.195,155,B
10/26/2011 09:42:07.112,111,A
10/26/2011 09:42:33.112,111,A
10/26/2011 09:42:33.795,111,A
10/26/2011 09:42:37.596,111,A
10/26/2011 09:44:30.496,152,B
10/26/2011 09:45:40.962,152,B
10/26/2011 09:46:36.246,155,B
10/26/2011 09:54:32.462,111,A
10/26/2011 10:05:41.262,128,B
10/26/2011 10:05:46.795,128,B
10/26/2011 10:05:50.429,128,B
10/26/2011 10:09:46.295,111,A
10/26/2011 10:41:04.329,118,B
10/26/2011 10:52:16.096,111,A
10/26/2011 11:06:49.079,111,A
10/26/2011 11:49:29.679,111,A
10/26/2011 12:04:05.529,111,A
10/26/2011 12:46:56.579,111,A
10/26/2011 13:01:32.529,111,A
10/26/2011 13:44:09.029,111,A
10/26/2011 13:58:47.129,111,A
10/26/2011 14:41:21.929,111,A
10/26/2011 14:56:03.729,111,A
10/26/2011 15:38:55.629,111,A
10/26/2011 15:53:44.445,111,A
10/26/2011 16:36:02.896,111,A
10/26/2011 16:50:42.662,111,A
10/26/2011 17:33:32.096,111,A
10/26/2011 17:48:09.996,111,A
10/26/2011 18:24:12.346,111,A
10/26/2011 18:24:14.346,111,A
10/26/2011 18:30:26.679,111,A
10/26/2011 18:45:11.596,111,A
10/26/2011 19:27:51.629,111,A
10/26/2011 19:42:30.762,111,A
10/26/2011 20:25:17.896,111,A
10/26/2011 20:39:59.812,111,A
10/26/2011 20:43:59.479,155,B
10/26/2011 20:44:10.496,157,B
10/26/2011 20:45:45.629,151,B
10/26/2011 20:45:50.679,149,B
10/26/2011 20:45:51.779,128,B
10/26/2011 20:45:51.795,118,B
10/26/2011 20:46:12.962,140,B
10/26/2011 20:48:07.396,150,B
10/26/2011 20:48:28.246,156,A
10/26/2011 20:48:37.862,1115,A
10/26/2011 20:51:25.646,101,B
10/26/2011 20:51:25.662,102,B
10/26/2011 20:54:05.362,209,B
10/26/2011 20:54:10.429,209,B
10/26/2011 20:54:16.096,1116,A
10/26/2011 20:54:23.162,156,A
10/26/2011 20:55:13.945,150,B
10/26/2011 20:55:27.795,149,B
10/26/2011 21:01:11.262,140,B
10/26/2011 21:01:20.979,140,B
10/26/2011 21:02:27.412,211,B
10/26/2011 21:03:02.545,140,B
10/26/2011 21:03:11.996,211,B
10/26/2011 21:03:15.612,211,B
10/26/2011 21:03:27.545,211,B
10/26/2011 21:03:29.329,211,B
10/26/2011 21:10:35.746,211,B
10/26/2011 21:10:53.179,211,B
10/26/2011 21:11:05.279,211,B
10/26/2011 21:11:06.562,211,B
10/26/2011 21:11:08.195,211,B
10/26/2011 21:12:02.212,211,B
10/26/2011 21:12:17.012,128,B
10/26/2011 21:12:22.396,128,B
10/26/2011 21:12:26.612,128,B
10/26/2011 21:12:55.829,211,B
10/26/2011 21:14:08.629,211,B
10/26/2011 21:14:59.646,211,B
10/26/2011 21:16:06.379,211,B
10/26/2011 21:16:10.396,211,B
10/26/2011 21:16:20.312,211,B
10/26/2011 21:16:28.545,211,B
10/26/2011 21:16:37.146,211,B
10/26/2011 21:16:46.779,211,B
10/26/2011 21:18:27.629,111,A
10/26/2011 21:18:31.729,111,A
10/26/2011 21:19:50.045,149,B
10/26/2011 21:19:55.346,140,B
10/26/2011 21:20:21.079,149,B
10/26/2011 21:20:23.912,151,B
10/26/2011 21:21:01.896,111,A
10/26/2011 21:22:19.712,211,B
10/26/2011 21:23:06.412,211,B
10/26/2011 21:24:12.146,211,B
10/26/2011 21:25:04.312,211,B
10/26/2011 21:26:04.162,211,B
10/26/2011 21:26:58.012,211,B
10/26/2011 21:27:55.529,211,B
10/26/2011 21:28:49.146,211,B
10/26/2011 21:29:47.962,211,B
10/26/2011 21:30:16.646,140,B
10/26/2011 21:30:26.445,140,B
10/26/2011 21:30:46.146,211,B
10/26/2011 21:31:41.662,211,B
10/26/2011 21:32:07.896,140,B
10/26/2011 21:32:42.412,211,B
10/26/2011 21:33:38.346,211,B
10/26/2011 21:34:41.295,211,B
10/26/2011 21:35:35.912,211,B
10/26/2011 21:36:20.846,111,A
10/26/2011 21:36:36.295,211,B
10/26/2011 21:37:30.295,211,B
10/26/2011 21:38:03.612,211,B
10/26/2011 21:38:07.445,147,A
10/26/2011 21:38:07.462,207,A
10/26/2011 21:39:26.212,211,B
10/26/2011 21:40:57.429,211,B
10/26/2011 21:41:45.429,211,B
10/26/2011 21:42:57.312,211,B
10/26/2011 21:43:49.246,211,B
10/26/2011 21:45:01.712,211,B
10/26/2011 21:45:51.429,211,B
10/26/2011 21:46:30.246,1117,A
10/26/2011 21:47:01.646,211,B
10/26/2011 21:47:07.795,1118,A
10/26/2011 21:47:38.562,118,B
10/26/2011 21:47:43.979,152,B
10/26/2011 21:47:53.562,211,B
10/26/2011 21:48:04.279,159,B
10/26/2011 21:48:24.212,159,B
10/26/2011 21:48:38.512,152,B
10/26/2011 21:49:03.879,211,B
10/26/2011 21:49:56.779,211,B
10/26/2011 21:51:11.212,211,B
10/26/2011 21:52:02.229,211,B
10/26/2011 21:53:15.112,211,B
10/26/2011 21:54:09.029,211,B
10/26/2011 21:55:24.129,211,B
10/26/2011 21:56:16.112,211,B
10/26/2011 21:57:32.795,211,B
10/26/2011 21:58:22.512,211,B
10/26/2011 21:59:24.579,207,A
10/26/2011 21:59:28.512,103,B
10/26/2011 21:59:36.379,211,B
10/26/2011 22:00:26.279,211,B
10/26/2011 22:01:07.062,207,A
10/26/2011 22:01:08.429,103,B
10/26/2011 22:01:33.912,1119,A
10/26/2011 22:01:40.712,211,B
10/26/2011 22:02:30.162,211,B
10/26/2011 22:03:43.295,211,B
10/26/2011 22:04:33.596,211,B
10/26/2011 22:05:50.862,1120,A
10/26/2011 22:06:09.279,111,A
10/26/2011 22:06:18.929,111,A
10/26/2011 22:06:37.396,111,A
10/26/2011 22:06:41.079,111,A
10/26/2011 22:06:44.012,111,A
10/26/2011 22:06:50.879,111,A
10/26/2011 22:06:52.096,111,A
10/26/2011 22:07:05.612,111,A
10/26/2011 22:07:29.329,111,A
10/26/2011 22:07:31.879,111,A
10/26/2011 22:07:54.779,111,A
10/26/2011 22:07:57.629,111,A
10/26/2011 22:08:06.362,111,A
10/26/2011 22:08:08.729,111,A
10/26/2011 22:08:19.445,111,A
10/26/2011 22:08:25.862,111,A
10/26/2011 22:08:38.762,111,A
10/26/2011 22:09:09.679,111,A
10/26/2011 22:09:18.496,111,A
10/26/2011 22:28:05.596,111,A
10/26/2011 22:28:16.862,1121,A
10/26/2011 22:29:15.612,1122,A
10/26/2011 22:35:04.779,111,A
10/26/2011 22:35:10.212,111,A
10/26/2011 22:35:27.679,152,B
10/26/2011 22:35:41.479,159,B
10/26/2011 22:35:47.545,123,B
10/26/2011 22:35:57.679,129,B
10/26/2011 22:35:57.912,111,A
10/26/2011 22:36:01.246,111,A
10/26/2011 22:36:03.146,129,B
10/26/2011 22:36:05.979,129,B
10/26/2011 22:36:12.879,111,A
10/26/2011 22:36:16.445,111,A
10/26/2011 22:48:08.646,207,A
10/26/2011 22:48:08.662,147,A
10/26/2011 22:49:40.996,155,B
10/26/2011 22:50:08.195,157,B
10/26/2011 22:50:33.062,210,B
10/26/2011 22:50:46.162,210,B
10/26/2011 22:53:30.229,210,B
10/26/2011 22:53:34.112,210,B
10/26/2011 22:54:06.079,210,B
10/26/2011 22:54:31.179,210,B
10/26/2011 22:54:33.195,210,B
10/26/2011 22:55:33.629,210,B
10/26/2011 22:55:34.246,210,B
10/26/2011 22:55:48.195,210,B
10/26/2011 22:56:33.379,210,B
10/26/2011 23:01:54.762,111,A
10/26/2011 23:03:33.129,210,B
10/26/2011 23:06:30.379,210,B
10/26/2011 23:06:34.195,210,B
10/26/2011 23:07:09.312,210,B
10/26/2011 23:08:30.412,210,B
10/26/2011 23:09:33.179,210,B
10/26/2011 23:09:55.329,210,B
10/26/2011 23:12:30.396,210,B
10/26/2011 23:12:34.346,210,B
10/26/2011 23:13:06.996,210,B
10/26/2011 23:13:30.479,210,B
10/26/2011 23:14:33.262,210,B
10/26/2011 23:14:49.846,210,B
10/26/2011 23:15:33.612,210,B
10/26/2011 23:16:34.479,210,B
10/26/2011 23:18:30.629,210,B
10/26/2011 23:18:34.179,210,B
10/26/2011 23:19:09.529,210,B
10/26/2011 23:19:34.679,111,A
10/26/2011 23:20:32.079,210,B
10/26/2011 23:20:34.229,210,B
10/26/2011 23:24:38.829,111,A
10/26/2011 23:24:45.429,111,A
10/26/2011 23:44:33.029,210,B
10/26/2011 23:54:06.396,111,A
10/27/2011 00:08:06.862,111,A
10/27/2011 00:32:23.746,111,A
10/27/2011 00:37:23.079,111,A
10/27/2011 00:41:20.862,129,B
10/27/2011 00:41:21.362,123,B
10/27/2011 00:41:34.096,159,B
10/27/2011 00:41:49.529,152,B
10/27/2011 00:42:16.229,140,B
10/27/2011 00:42:20.329,140,B
10/27/2011 00:42:28.979,156,A
10/27/2011 00:42:29.829,140,B
10/27/2011 00:43:58.312,156,A
10/27/2011 00:44:11.712,140,B
10/27/2011 00:49:59.179,140,B
10/27/2011 01:00:01.646,140,B
10/27/2011 01:00:11.479,140,B
10/27/2011 01:01:52.945,140,B
10/27/2011 01:32:33.746,111,A
10/27/2011 01:46:47.762,156,A
10/27/2011 01:47:20.079,156,A
10/27/2011 01:57:51.829,127,A
10/27/2011 01:57:51.829,207,A
10/27/2011 01:58:11.379,207,A
10/27/2011 01:58:11.396,127,A
10/27/2011 02:03:02.079,111,A
10/27/2011 02:22:25.279,111,A
10/27/2011 02:56:53.912,111,A
10/27/2011 03:00:25.445,118,B
10/27/2011 03:06:41.062,118,B
10/27/2011 03:13:44.279,111,A
10/27/2011 03:49:25.412,111,A
10/27/2011 04:05:07.829,111,A
10/27/2011 04:42:46.462,111,A
10/27/2011 04:57:56.129,111,A
10/27/2011 05:36:26.462,111,A
10/27/2011 05:51:08.695,111,A
10/27/2011 06:30:15.562,111,A
10/27/2011 06:44:37.962,111,A
10/27/2011 07:25:03.012,111,A
10/27/2011 07:39:07.846,111,A
10/27/2011 07:58:03.445,149,B
10/27/2011 07:58:11.246,118,B
